No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2463,20220210,1:18:00 PM,2022,2,10,13,18,SPY,C,500,6/17/2022,2.29,452.105,0.90421,91,0.001438404,0.41
2464,20220210,1:26:00 PM,2022,2,10,13,26,SPY,C,500,6/17/2022,2.32,452.27,0.90454,91,0.001403321,0.41
2465,20220210,1:29:00 PM,2022,2,10,13,29,SPY,C,500,6/17/2022,2.25,451.51,0.90302,91,0.001279864,0.41
2466,20220210,1:34:00 PM,2022,2,10,13,34,SPY,C,500,6/17/2022,2.23,451,0.902,91,0.000763741,0.41
2467,20220210,1:37:00 PM,2022,2,10,13,37,SPY,C,500,6/17/2022,2.15,450.375,0.90075,91,0.000800745,0.41
2468,20220210,1:39:00 PM,2022,2,10,13,39,SPY,C,500,6/17/2022,2.2,451.075,0.90215,91,0.001372271,0.41
2469,20220210,1:41:00 PM,2022,2,10,13,41,SPY,C,500,6/17/2022,2.51,451.46,0.90292,91,0.001459876,0.41
2470,20220210,1:42:00 PM,2022,2,10,13,42,SPY,C,500,6/17/2022,2.24,451.515,0.90303,91,0.001260491,0.41
2471,20220210,1:43:00 PM,2022,2,10,13,43,SPY,C,500,6/17/2022,2.3,451.635,0.90327,91,0.001090044,0.41
2472,20220210,1:47:00 PM,2022,2,10,13,47,SPY,C,500,6/17/2022,2.34,451.45,0.9029,91,0.000751518,0.41
2473,20220210,1:57:00 PM,2022,2,10,13,57,SPY,C,500,6/17/2022,2.24,451.285,0.90257,91,0.000517665,0.41
2474,20220210,2:10:00 PM,2022,2,10,14,10,SPY,C,500,6/17/2022,2.25,450.97,0.90194,91,0.000399497,0.41
2475,20220210,2:12:00 PM,2022,2,10,14,12,SPY,C,500,6/17/2022,2.15,450.51,0.90102,91,0.000476297,0.41
2476,20220210,2:19:00 PM,2022,2,10,14,19,SPY,C,500,6/17/2022,2.17,449.625,0.89925,91,0.000654609,0.41
2477,20220210,2:22:00 PM,2022,2,10,14,22,SPY,C,500,6/17/2022,2.15,449.775,0.89955,91,0.000847391,0.41
2478,20220210,2:23:00 PM,2022,2,10,14,23,SPY,C,500,6/17/2022,2.15,449.995,0.89999,91,0.001012624,0.41
2479,20220210,2:24:00 PM,2022,2,10,14,24,SPY,C,500,6/17/2022,2.2,450.355,0.90071,91,0.001174647,0.41
2480,20220210,2:25:00 PM,2022,2,10,14,25,SPY,C,500,6/17/2022,2.27,450.47,0.90094,91,0.001108299,0.41
2481,20220210,2:37:00 PM,2022,2,10,14,37,SPY,C,500,6/17/2022,2.28,451.3,0.9026,91,0.000648466,0.41
2482,20220210,2:49:00 PM,2022,2,10,14,49,SPY,C,500,6/17/2022,2.2,450.415,0.90083,91,0.001394469,0.41
2483,20220210,2:51:00 PM,2022,2,10,14,51,SPY,C,500,6/17/2022,2.16,450.29,0.90058,91,0.001408518,0.41
2484,20220210,2:58:00 PM,2022,2,10,14,58,SPY,C,500,6/17/2022,2.16,449.66,0.89932,91,0.001488787,0.41
2485,20220210,3:00:00 PM,2022,2,10,15,0,SPY,C,500,6/17/2022,2.16,449.85,0.8997,91,0.001506375,0.41
2486,20220210,3:01:00 PM,2022,2,10,15,1,SPY,C,500,6/17/2022,2.12,449.255,0.89851,91,0.00096044,0.41
2487,20220210,3:06:00 PM,2022,2,10,15,6,SPY,C,500,6/17/2022,2.26,450.405,0.90081,91,0.001621339,0.41
2488,20220210,3:23:00 PM,2022,2,10,15,23,SPY,C,500,6/17/2022,2.21,449.595,0.89919,91,0.001816535,0.41
